place,Average index,max index,min index
"Amsterdam, Netherlands",33.459714681748835,90.60240964,1.5394912999999997
"Copenhagen Municipality, Denmark",36.19954416366303,79.67871488,1.847389560000001
"Berlin, Germany",32.667092905488374,86.73517599411763,1.630049611764706
"Basel, Switzerland",32.82682184911527,78.41519927923079,2.842137784615385
"Freiburg, Germany",34.022994630446554,83.51692484428574,1.979345957142857
"Strasbourg, France",30.84446995080509,80.04016066000001,3.0789826000000002
"Helsinki, Finland",35.11294307113535,86.14457831000001,1.7319277125000003
