place,average_index,max_index,min_index,std_index
"Utrecht,Netherlands",66.86199189169633,87.99171835333333,31.863354015,9.284331778901338
"Antwerp,Belgium",63.77377559976118,89.70496887000002,28.881987552,9.779387145065561
"Copenhagen Municipality,Denmark",63.16480715813674,90.1044606818182,29.779079593181823,10.330612520902145
"Amsterdam,Netherlands",63.99999892020483,89.70496887000002,31.42857142,9.123591305696225
"Malmo,Sweden",63.8426265757783,84.3340234,34.82171611259259,8.377376599738067
"Bern,Switzerland",61.52940253498904,87.27931481606062,30.83568602909091,11.57475406316224
"Bremen,Germany",61.264716196214415,87.99171835333333,32.802795,11.087832736314864
"Hannover,Germany",61.03145616897407,83.9855071902381,24.82056589222222,11.011840841836214
"Strasbourg,France",61.08031859052928,86.19988699454547,28.25310558,10.080938836742641
"Bordeaux,France",63.39255994002242,88.6063663875,35.24585919916667,9.669710164792743
"Leipzig,Germany",58.87832325820086,86.67701857,26.986283615,10.408099684266617
"Bristol,United Kingdom",56.84179954791691,86.72360241,22.784679076666666,8.384179008330323
"Nuremberg,Germany",62.10770993328222,84.89130427999999,31.863354015,10.5669407255446
"Innsbruck,Austria",65.06387311205376,84.3340234,38.56682766851851,9.64791075541668
"Berlin,Germany",59.85489125580482,86.10367886923079,29.526994725,11.46412725292136
"Montreal,Canada",64.91629364994874,87.279503028,28.89233952333333,9.661253139351675
