,highway,cycleway,surface,maxspeed,length,lanes,oneway,width,centrality,geometry,index,grid_index
0,0.335403726,,1.08695652,,67.333,0.978260868,0.5900621100000001,,0.285714284,"LINESTRING (11.3722269 47.2650111, 11.3723541 47.264971, 11.3731059 47.2649847)",52.42236075706831,55.55600151347802
1,1.341614904,,,,66.719,,0.29503105500000004,,0.357142855,"LINESTRING (11.3722269 47.2650111, 11.3722105 47.2650975, 11.3721599 47.2651833, 11.3721428 47.2652331, 11.3721335 47.2654043, 11.3720768 47.265518, 11.3720764 47.265596)",53.167702344679086,55.55600151347802
2,0.335403726,,1.08695652,,12.463,,0.29503105500000004,,0.42857142600000003,"LINESTRING (11.3831887 47.2661441, 11.3830288 47.266116)",42.91925505503105,55.55600151347802
3,1.006211178,,1.08695652,,53.93899999999999,1.08695652,0.29503105500000004,,0.42857142600000003,"LINESTRING (11.3831887 47.2661441, 11.383606 47.2662224, 11.383653 47.2662375, 11.3838588 47.266307)",62.45962793351553,55.55600151347802
4,0.335403726,,1.08695652,,77.901,1.08695652,0.5900621100000001,,0.42857142600000003,"LINESTRING (11.3831887 47.2661441, 11.3833871 47.2660651, 11.3834655 47.2660192, 11.3839636 47.2656866)",56.447205509366455,55.55600151347802
5,1.341614904,,1.08695652,,47.12,,0.29503105500000004,,0.357142855,"LINESTRING (11.3850902 47.2649892, 11.3855412 47.2652823)",61.61490741937888,55.55600151347802
6,0.335403726,,1.08695652,,34.946,0.32608695600000004,0.29503105500000004,,0.285714284,"LINESTRING (11.3850902 47.2649892, 11.3853982 47.2647545)",37.26708110320496,55.55600151347802
7,1.67701863,,1.08695652,,87.952,,0.5900621100000001,,0.285714284,"LINESTRING (11.3850902 47.2649892, 11.3851105 47.2650494, 11.3851019 47.2650553, 11.3843831 47.2655544, 11.3843605 47.2655716)",72.79503175354037,55.55600151347802
8,0.335403726,,1.08695652,,21.252,0.978260868,0.5900621100000001,,0.285714284,"LINESTRING (11.3873099 47.2642663, 11.3875032 47.2644053)",52.42236075706831,55.55600151347802
9,1.006211178,,,,14.574,,0.29503105500000004,,0.21428571300000002,"LINESTRING (11.3873099 47.2642663, 11.3873902 47.2641471)",40.41407904496894,55.55600151347802
10,0.335403726,,1.08695652,,26.557,0.54347826,0.5900621100000001,,0.42857142600000003,"LINESTRING (11.3884005 47.2650503, 11.3886419 47.2652241)",47.75155324501863,55.55600151347802
11,1.006211178,,,,49.593,,0.29503105500000004,,0.357142855,"LINESTRING (11.3884005 47.2650503, 11.3885602 47.2649497, 11.3887037 47.264795, 11.3887799 47.2646919)",44.22360287734989,55.55600151347802
12,1.006211178,,,,102.70200000000001,,0.29503105500000004,,0.357142855,"LINESTRING (11.3884005 47.2650503, 11.3884963 47.2649438, 11.3886311 47.2647618, 11.3886458 47.2647342, 11.3886625 47.2646955, 11.3886748 47.2646542, 11.3886823 47.2646171, 11.3886871 47.2645883, 11.3886885 47.2645502, 11.3886863 47.2645327, 11.3886831 47.2645159, 11.3886809 47.2645086, 11.3886767 47.2645007, 11.3886704 47.2644923, 11.388661 47.264485, 11.388563 47.2644438, 11.3885321 47.2644306, 11.3885025 47.2644165, 11.3884866 47.264406, 11.3884762 47.2643927, 11.3884751 47.2643796, 11.3884809 47.2643647, 11.388565 47.2642556)",44.22360287734989,55.55600151347802
13,0.335403726,,1.08695652,,29.223999999999997,1.08695652,0.5900621100000001,,0.357142855,"LINESTRING (11.3895182 47.2658906, 11.3894424 47.2659687, 11.3893542 47.266016, 11.3892214 47.266039)",55.30434835965218,55.55600151347802
14,1.006211178,,1.08695652,,86.785,0.54347826,0.29503105500000004,,0.42857142600000003,"LINESTRING (11.3895182 47.2658906, 11.3895898 47.2657952, 11.3896319 47.2657391, 11.3900228 47.2652182, 11.3900401 47.2651951)",53.7639756691677,55.55600151347802
15,1.006211178,,,,36.299,,0.29503105500000004,,0.42857142600000003,"LINESTRING (11.3895182 47.2658906, 11.3894899 47.2659731, 11.3894972 47.266043, 11.389549 47.2661117, 11.3896265 47.2661902)",46.12836479354037,55.55600151347802
16,0.335403726,,1.08695652,,70.283,0.978260868,0.5900621100000001,,0.357142855,"LINESTRING (11.3895182 47.2658906, 11.3896124 47.2659717, 11.3901173 47.2663745)",53.5652179067826,55.55600151347802
17,1.173913041,,,,13.079999999999998,1.08695652,0.5900621100000001,,0.285714284,"LINESTRING (11.390774 47.2670518, 11.3907561 47.2671238, 11.3907216 47.2671453, 11.3907077 47.267154)",62.73291985279502,55.55600151347802
18,0.335403726,,1.08695652,,48.44,0.978260868,0.5900621100000001,,0.285714284,"LINESTRING (11.390774 47.2670518, 11.3908661 47.2671845, 11.3909486 47.2673329, 11.3910005 47.2674584)",52.42236075706831,55.55600151347802
19,1.006211178,,1.08695652,,9.199,0.54347826,0.29503105500000004,,0.49999999700000003,"LINESTRING (11.3914922 47.2682241, 11.3914081 47.268284)",54.90683281888199,55.55600151347802
20,0.335403726,,1.08695652,,28.254,0.54347826,0.29503105500000004,,0.42857142600000003,"LINESTRING (11.3914922 47.2682241, 11.3916894 47.2684401)",43.03105630837266,55.55600151347802
21,0.335403726,,1.08695652,,77.417,0.54347826,0.29503105500000004,,0.571428568,"LINESTRING (11.3914922 47.2682241, 11.3912258 47.2678923, 11.3910355 47.2676544, 11.3910036 47.2676119)",45.31677060780124,55.55600151347802
