,highway,cycleway,surface,maxspeed,weight,lanes,oneway,width,centrality,geometry,centrality_scaled,summation,index
0,0.335403726,,1.08695652,,0.0008852959155396459,0.978260868,0.5900621100000001,,0.0005130178273695011,"LINESTRING (11.3722269 47.2650111, 11.3723541 47.264971, 11.3731059 47.2649847)",0.28571428399999993,3.276397508,32.76397508
1,1.341614904,,,,0.0006167128969904316,,0.29503105500000004,,0.0006412722842118764,"LINESTRING (11.3722269 47.2650111, 11.3722105 47.2650975, 11.3721599 47.2651833, 11.3721428 47.2652331, 11.3721335 47.2654043, 11.3720768 47.265518, 11.3720764 47.265596)",0.357142855,1.9937888140000002,19.937888140000002
2,0.335403726,,1.08695652,,0.0001623503002770474,,0.29503105500000004,,0.0007695267410542516,"LINESTRING (11.3831887 47.2661441, 11.3830288 47.266116)",0.428571426,2.145962727,21.459627270000002
3,1.006211178,,1.08695652,,0.0006911669714923552,1.08695652,0.29503105500000004,,0.0007695267410542516,"LINESTRING (11.3831887 47.2661441, 11.383606 47.2662224, 11.383653 47.2662375, 11.3838588 47.266307)",0.428571426,3.9037266990000004,39.037266990000006
4,0.335403726,,1.08695652,,0.0009033356617256009,1.08695652,0.5900621100000001,,0.0007695267410542516,"LINESTRING (11.3831887 47.2661441, 11.3833871 47.2660651, 11.3834655 47.2660192, 11.3839636 47.2656866)",0.428571426,3.527950302,35.27950302
5,1.341614904,,1.08695652,,0.0005378741581450103,,0.29503105500000004,,0.0006412722842118764,"LINESTRING (11.3850902 47.2649892, 11.3855412 47.2652823)",0.357142855,3.0807453340000004,30.807453340000002
6,0.335403726,,1.08695652,,0.00038723131329888464,0.32608695600000004,0.29503105500000004,,0.0005130178273695011,"LINESTRING (11.3850902 47.2649892, 11.3853982 47.2647545)",0.28571428399999993,2.329192541,23.291925409999997
7,1.67701863,,1.08695652,,0.0009774458152992539,,0.5900621100000001,,0.0005130178273695011,"LINESTRING (11.3850902 47.2649892, 11.3851105 47.2650494, 11.3851019 47.2650553, 11.3843831 47.2655544, 11.3843605 47.2655716)",0.28571428399999993,3.639751544,36.39751544
8,0.335403726,,1.08695652,,0.00023808798793512292,0.978260868,0.5900621100000001,,0.0005130178273695011,"LINESTRING (11.3873099 47.2642663, 11.3875032 47.2644053)",0.28571428399999993,3.276397508,32.76397508
9,1.006211178,,,,0.00014372449338979318,,0.29503105500000004,,0.0003847633705271258,"LINESTRING (11.3873099 47.2642663, 11.3873902 47.2641471)",0.214285713,1.5155279460000002,15.155279460000003
10,0.335403726,,1.08695652,,0.00029745655144860464,0.54347826,0.5900621100000001,,0.0007695267410542516,"LINESTRING (11.3884005 47.2650503, 11.3886419 47.2652241)",0.428571426,2.984472042,29.84472042
11,1.006211178,,,,0.0005279554775194299,,0.29503105500000004,,0.0006412722842118764,"LINESTRING (11.3884005 47.2650503, 11.3885602 47.2649497, 11.3887037 47.264795, 11.3887799 47.2646919)",0.357142855,1.6583850880000002,16.58385088
12,1.006211178,,,,0.0010406518722737956,,0.29503105500000004,,0.0006412722842118764,"LINESTRING (11.3884005 47.2650503, 11.3884963 47.2649438, 11.3886311 47.2647618, 11.3886458 47.2647342, 11.3886625 47.2646955, 11.3886748 47.2646542, 11.3886823 47.2646171, 11.3886871 47.2645883, 11.3886885 47.2645502, 11.3886863 47.2645327, 11.3886831 47.2645159, 11.3886809 47.2645086, 11.3886767 47.2645007, 11.3886704 47.2644923, 11.388661 47.264485, 11.388563 47.2644438, 11.3885321 47.2644306, 11.3885025 47.2644165, 11.3884866 47.264406, 11.3884762 47.2643927, 11.3884751 47.2643796, 11.3884809 47.2643647, 11.388565 47.2642556)",0.357142855,1.6583850880000002,16.58385088
